train validation
1.2465705871582031 1.413885235786438
1.2430078983306885 1.4097633361816406
1.2395079135894775 1.4057461023330688
1.2360786199569702 1.40184485912323
1.2327079772949219 1.3982237577438354
1.22956383228302 1.3949881792068481
1.226714849472046 1.391817569732666
1.223908543586731 1.3887653350830078
1.2211569547653198 1.3857502937316895
1.2184439897537231 1.3828507661819458
1.215769648551941 1.3800398111343384
1.2131397724151611 1.377306580543518
1.2105540037155151 1.374653935432434
1.2080105543136597 1.3720842599868774
1.205511212348938 1.3695483207702637
1.2030457258224487 1.3671036958694458
1.2006207704544067 1.3647761344909668
1.19823157787323 1.3625450134277344
1.195886254310608 1.360390305519104
1.1935763359069824 1.3583321571350098
1.1912966966629028 1.3563646078109741
1.1890475749969482 1.354472279548645
1.1868329048156738 1.352470874786377
1.1846504211425781 1.3505662679672241
1.1824952363967896 1.3487205505371094
1.1803686618804932 1.34697425365448
1.178269863128662 1.3452767133712769
1.176194667816162 1.343595027923584
1.1741465330123901 1.3420017957687378
1.1721203327178955 1.340498924255371
1.1701163053512573 1.3390382528305054
1.168135166168213 1.3379799127578735
1.166758418083191 1.3369354009628296
1.1654019355773926 1.3359287977218628
1.164062738418579 1.3349604606628418
1.1627395153045654 1.3340362310409546
1.1614322662353516 1.3331395387649536
1.1601406335830688 1.3322802782058716
1.1588635444641113 1.331443190574646
1.1576006412506104 1.3306328058242798
1.1563513278961182 1.3298388719558716
1.155115008354187 1.3291082382202148
1.1538913249969482 1.3283309936523438
1.1526813507080078 1.3275680541992188
1.1514830589294434 1.3268396854400635
1.1502941846847534 1.3261271715164185
1.1491179466247559 1.3252907991409302
1.1479625701904297 1.3244833946228027
1.1468162536621094 1.3237494230270386
1.145678997039795 1.3230280876159668
1.144548773765564 1.3223683834075928
1.1434258222579956 1.3217164278030396
1.142309546470642 1.3211177587509155
1.1411994695663452 1.3205153942108154
1.1400964260101318 1.3199323415756226
1.1389999389648438 1.3194080591201782
1.137909173965454 1.3188608884811401
1.1368242502212524 1.318363070487976
1.1357486248016357 1.3177603483200073
1.1346828937530518 1.317217230796814
1.1336233615875244 1.3166764974594116
1.1325701475143433 1.316186785697937
1.1315224170684814 1.3156691789627075
1.1304796934127808 1.315194845199585
1.1294418573379517 1.3147035837173462
1.1284080743789673 1.3142621517181396
1.1273798942565918 1.3137983083724976
1.1263562440872192 1.3133496046066284
1.1253360509872437 1.3128803968429565
1.124320387840271 1.3124688863754272
1.1233068704605103 1.3120228052139282
1.122296690940857 1.3116236925125122
1.121288537979126 1.3112379312515259
1.1202806234359741 1.3108240365982056
1.1192741394042969 1.3104497194290161
1.1182719469070435 1.3099780082702637
1.1172770261764526 1.3095765113830566
1.1162856817245483 1.3091557025909424
1.1152986288070679 1.3087522983551025
1.114315390586853 1.308336853981018
1.1133373975753784 1.307981014251709
1.112363576889038 1.3076118230819702
1.111392617225647 1.3072166442871094
1.110426425933838 1.3068640232086182
1.1094638109207153 1.3065080642700195
1.1085044145584106 1.306111216545105
1.107547402381897 1.3057571649551392
1.1065934896469116 1.305402398109436
1.1056419610977173 1.305037021636963
1.1046935319900513 1.3046965599060059
1.1037483215332031 1.3043667078018188
1.1028079986572266 1.3040779829025269
1.1020781993865967 1.3037718534469604
1.101354718208313 1.303470492362976
1.1006330251693726 1.3031829595565796
1.099912405014038 1.302852988243103
1.099194049835205 1.3025113344192505
1.098479986190796 1.3022125959396362
1.0977680683135986 1.3019081354141235
1.0970587730407715 1.3015927076339722
1.0963473320007324 1.3012510538101196
1.0956366062164307 1.3009711503982544
1.0949280261993408 1.300666093826294
1.094220519065857 1.3003889322280884
1.0935137271881104 1.300106167793274
1.0928092002868652 1.2998031377792358
1.0921053886413574 1.2995367050170898
1.0914027690887451 1.299277901649475
1.0907013416290283 1.2990022897720337
1.0900006294250488 1.2987475395202637
1.089301347732544 1.2984938621520996
1.0886046886444092 1.298229455947876
1.0879088640213013 1.297988772392273
1.0872139930725098 1.2977452278137207
1.0865228176116943 1.2974905967712402
1.0858322381973267 1.2972549200057983
1.0851422548294067 1.2970237731933594
1.0844539403915405 1.2968074083328247
1.0837681293487549 1.2965375185012817
1.0830833911895752 1.2962946891784668
